date,url,title,pub,pub_short
12/23/2023,https://www.spiegel.de/ausland/israel-gaza-krieg-der-konflikt-mit-der-hamas-in-grafiken-und-karten-a-3967f2d7-9923-47e1-9eed-a09c543d24bd,Der Konflikt in Karten und Grafiken,Der Spiegel,ds
10/19/2023,https://www.washingtonpost.com/world/2023/10/18/gaza-war-damage-images-maps/,Damage maps of Gaza’s hardest-hit areas in the first days of war,The Washington Post,wapo
10/14/2023,https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html?smid=url-share#gaza-damage-oct-14,An initial look at where Israel has hit Gaza,The New York Times,nyt
12/30/2023,https://www.thetimes.co.uk/article/what-happening-gaza-map-israel-hamas-lqc8q5zns,What’s happening in Gaza? The scale of destruction in maps,The Times,times
10/27/2023,https://www.lefigaro.fr/international/guerre-israel-hamas-les-images-satellites-montrent-l-ampleur-des-destructions-dans-la-bande-de-gaza-20231017,Guerre Israël-Hamas : les images satellites montrent l’ampleur des destructions dans la bande de Gaza,Le Figaro,lf
10/19/2023,https://www.derstandard.at/jetzt/livebericht/3000000191758/1000316962/aegypten-will-dauerhaft-gaza-hilfslieferungen-ueber-rafah-ermoeglichen?ref=live_red_content&responsive=false,Weiterhin wird besonders der Norden des Gazastreifens von Raketen getroffen,Nahost-Konflikt,nk
12/21/2023,https://www.bbc.co.uk/news/world-middle-east-20415675,Gaza Strip in maps: How life has changed in two months,BBC News,bbc
10/18/2023,https://www.tagesanzeiger.ch/vorher-nachher-vergleich-satellitenbilder-zeigen-die-massive-zerstoerung-in-gaza-840901278132?gift_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJtb3Z6NTA5OTQ2OSIsImlhdCI6MTY5NzgwMjQ1OCwiZXhwIjoxNzEzNTcwNDU4LCJ0ZW5hbnQiOiJ0YWdlc2FuemVpZ2VyIiwidW5pdHlJZCI6Ijg0MDkwMTI3ODEzMiIsImp0aSI6ImJhM2U0ZTM4ZWFmODc3MTZhNTI0YTFhOGVmOWYxNTI2ZGIxZGUzNDY4NDhkNzc2YzUzYzYxYjgyNDM1ZjJkNWIifQ.CMaGCq18KFJod1_TpLlB3moSSYWl4oJUfjN4VipHmZU,Vorher-nachher-Vergleich: Satellitenbilder zeigen die massive Zerstörung in Gaza | Tages-Anzeiger,Tages-Anzeiger,ta
11/30/2023,https://www.cnn.com/interactive/2023/middleeast/map-humanitarian-aid-water-power-hospitals-gaza-strip-dg/,Map: Thousands of homes in Gaza are damaged or destroyed. See the destruction.,CNN,cnn
10/29/2023,https://www.ft.com/content/244ac777-e713-4b97-9a0f-7c0ecdee3e86,Israeli forces hold part of northern Gaza for second night,Financial Times,ft
12/27/2023,https://www.ft.com/content/42bbe534-8a0d-4ba8-9cc6-f84936d87196,The Israel-Hamas war in maps: latest updates,Financial Times,ft
10/31/2023,https://www.ft.com/content/913d366e-0ace-4463-a004-d293aa49c673,Military briefing: How Hamas fights,Financial Times,ft
10/29/2023,https://www.ft.com/content/8a56b2bf-8af7-4c87-9012-31882e7d7d59,Military briefing: Israel’s devastating bombing campaign in Gaza,Financial Times,ft
10/29/2023,https://www.ft.com/content/92a31b6e-a5b7-4533-96ed-89d14e6c2b14,The tactics behind Israel’s ground offensive,Financial Times,ft
10/19/2023,https://www.ft.com/content/32bc687b-1385-401b-a60a-7320848ceb16,Military briefing: Battle for Mosul points to IDF’s ‘fiendish’ task in Gaza,Financial Times,ft
10/25/2023,https://ig.ft.com/gaza-damage/,How Israeli air strikes destroyed a busy neighbourhood in Gaza,Financial Times,ft
10/28/2023,https://www.thetimes.co.uk/article/gaza-before-after-destruction-mapped-israel-bombing-cqw2gpn7l,Gaza before and after: how a tenth of the strip was turned to rubble,The Times,times
10/31/2023,https://www.bloomberg.com/news/articles/2023-10-31/israel-s-step-by-step-gaza-offensive-risks-extending-deadly-war,Israel’s Step-by-Step Gaza Offensive Risks Longer Deadly War,Bloomberg,bloomberg
12/19/2023,https://www.vg.no/spesial/2023/israel-palestina-grafikker/,Israel/Gaza-krigen: Kart og grafikk,Verdens Gang,vg
12/28/2023,https://www.washingtonpost.com/world/2023/gaza-strip-map-attacks-damage/,"Mapping damage in Gaza: Where attacks, refugee camps and borders are",The Washington Post,wapo
11/13/2023,https://www.rtve.es/noticias/20231103/mapa-guerra-israel-hamas-gaza-bombardeos-ataques-muertos/2459872.shtml,"Mapa de la guerra entre Israel y Hamás en Gaza: bombardeos, ataques y muertos",RTVE,rtve
11/7/2023,https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html?smid=url-share#gaza-damage-nov-7,"A third of buildings in northern Gaza are damaged or destroyed, analysis estimates",The New York Times,nyt
11/4/2023,https://www.eldiario.es/internacional/mapa-destruccion-gaza-despues-mes-ofensiva-israeli_1_10653709.html,El mapa de la destrucción: así está Gaza después de un mes de ofensiva israelí,El Diario,ed
11/5/2023,https://www.washingtonpost.com/world/2023/11/05/gaza-ground-invasion-satellite-imagery/,Satellite imagery shows latest Israeli advances into Gaza,The Washington Post,wapo
11/8/2023,https://on.ft.com/3stOmog,Military briefing: the battle for Gaza City,Financial Times,ft
12/29/2023,https://www.faz.net/aktuell/israel-krieg/gaza-satellitenbilder-zeigen-ausmass-der-zerstoerung-im-krieg-19288159.html,Krieg in Nahost: Wie viele Palästinenser wurden in Gaza getötet?,FAZ,faz
11/11/2023,https://www.wsj.com/livecoverage/israel-hamas-war-gaza-strip-2023-11-08/card/map-shows-israeli-troop-movements-fighting-in-gaza-tfxZGcxTopra09AJAjix,Map Shows Damage From War in Gaza,Wall Street Journal,wsj
